Unnamed: 0,EDA,TEMP,listen,stay,talk,Current Time,M,F,IBI,neutral,happy,sad,surprise,disqust,fear,angry
0,0.4406795507863828,0.4950980392156863,1,0,0,2020-10-15 19:19:14.000,1,0,0.3656550347805023,0,1,0,0,0,0,0
1,0.4423260164002168,0.4950980392156863,1,0,0,2020-10-15 19:19:14.250,1,0,0.3656153082847595,0,1,0,0,0,0,0
2,0.4435924675903044,0.4950980392156863,1,0,0,2020-10-15 19:19:14.500,1,0,0.3655847609043121,0,1,0,0,0,0,0
3,0.4443522987709968,0.4950980392156863,1,0,0,2020-10-15 19:19:14.750,1,0,0.3655664026737213,0,1,0,0,0,0,0
4,0.4457454543801332,0.4950980392156863,1,0,0,2020-10-15 19:19:15.000,1,0,0.365532785654068,0,1,0,0,0,0,0
5,0.4481516523412595,0.4950980392156863,1,0,0,2020-10-15 19:19:15.250,1,0,0.3654747009277344,0,1,0,0,0,0,0
6,0.4489115823553522,0.4950980392156863,1,0,0,2020-10-15 19:19:15.500,1,0,0.3654563724994659,0,1,0,0,0,0,0
7,0.4484049623459571,0.4950980392156863,1,0,0,2020-10-15 19:19:15.750,1,0,0.3654686212539673,0,1,0,0,0,0,0
8,0.4477717367509133,0.4950980392156863,1,0,0,2020-10-15 19:19:16.000,1,0,0.3654839098453522,0,1,0,0,0,0,0
9,0.4472651167415182,0.4950980392156863,1,0,0,2020-10-15 19:19:16.250,1,0,0.3654960989952087,0,1,0,0,0,0,0
10,0.4485316667650059,0.4950980392156863,1,0,0,2020-10-15 19:19:16.500,1,0,0.3654655516147613,0,1,0,0,0,0,0
11,0.4511911747308297,0.4950980392156863,1,0,0,2020-10-15 19:19:16.750,1,0,0.365401417016983,0,1,0,0,0,0,0
12,0.4557504583151851,0.4950980392156863,1,0,0,2020-10-15 19:19:17.000,1,0,0.3652913868427276,0,1,0,0,0,0,0
13,0.459929727475794,0.4950980392156863,1,0,0,2020-10-15 19:19:17.250,1,0,0.3651905059814453,0,1,0,0,0,0,0
14,0.4637291798794569,0.4950980392156863,1,0,0,2020-10-15 19:19:17.500,1,0,0.3650988638401031,0,1,0,0,0,0,0
15,0.466262082259632,0.4950980392156863,1,0,0,2020-10-15 19:19:17.750,1,0,0.365037739276886,0,1,0,0,0,0,0
16,0.4681617590447633,0.4950980392156863,1,0,0,2020-10-15 19:19:18.000,1,0,0.3649919927120209,1,0,0,0,0,0,0
17,0.468288364630412,0.4950980392156863,1,0,0,2020-10-15 19:19:18.250,1,0,0.3649888932704925,1,0,0,0,0,0,0
18,0.4677818434544171,0.4950980392156863,1,0,0,2020-10-15 19:19:18.500,1,0,0.3650011122226715,1,0,0,0,0,0,0
19,0.4661353778405832,0.4950980392156863,1,0,0,2020-10-15 19:19:18.750,1,0,0.3650408387184143,1,0,0,0,0,0,0
20,0.4647423210648469,0.4950980392156863,1,0,0,2020-10-15 19:19:19.000,1,0,0.3650744259357452,1,0,0,0,0,0,0
21,0.4627159398606667,0.4950980392156863,1,0,0,2020-10-15 19:19:19.250,1,0,0.365123301744461,1,0,0,0,0,0,0
22,0.4613228830849304,0.4950980392156863,1,0,0,2020-10-15 19:19:19.500,1,0,0.3651569187641144,1,0,0,0,0,0,0
23,0.4601830374804916,0.4950980392156863,1,0,0,2020-10-15 19:19:19.750,1,0,0.3651843965053558,1,0,0,0,0,0,0
24,0.4598664246829697,0.4950980392156863,1,0,0,2020-10-15 19:19:19.984,1,0,0.368421052631579,1,0,0,0,0,0,0
25,0.4595498118854478,0.4950980392156863,1,0,0,2020-10-15 19:19:20.000,1,0,0.3651997148990631,1,0,0,0,0,0,0
26,0.4577768395193652,0.4950980392156863,1,0,0,2020-10-15 19:19:20.250,1,0,0.3652425110340118,1,0,0,0,0,0,0
27,0.4566369939149264,0.4950980392156863,1,0,0,2020-10-15 19:19:20.500,1,0,0.3652699589729309,1,0,0,0,0,0,0
28,0.4561937261150557,0.4950980392156863,1,0,0,2020-10-15 19:19:20.625,1,0,0.368421052631579,1,0,0,0,0,0,0
29,0.4557504583151851,0.4950980392156863,1,0,0,2020-10-15 19:19:20.750,1,0,0.3652913868427276,1,0,0,0,0,0,0
30,0.4548639227154438,0.4950980392156863,1,0,0,2020-10-15 19:19:21.000,1,0,0.3653127551078796,1,0,0,0,0,0,0
31,0.4544840071250975,0.4950980392156863,1,0,0,2020-10-15 19:19:21.234,1,0,0.3333333333333332,1,0,0,0,0,0,0
32,0.4541040915347513,0.4950980392156863,1,0,0,2020-10-15 19:19:21.250,1,0,0.365331083536148,1,0,0,0,0,0,0
33,0.4524576259209173,0.4950980392156863,1,0,0,2020-10-15 19:19:21.500,1,0,0.3653708100318908,1,0,0,0,0,0,0
34,0.4788344814315268,0.4950980392156863,1,0,0,2020-10-15 19:19:26.500,1,0,0.2807017543859649,1,0,0,0,0,0,0
35,0.4765548890560491,0.4950980392156863,1,0,0,2020-10-15 19:19:26.750,1,0,0.3647895455360412,1,0,0,0,0,0,0
36,0.4740219866758741,0.4901960784313726,1,0,0,2020-10-15 19:19:27.000,1,0,0.3650231659412384,1,0,0,0,0,0,0
37,0.4730721482833084,0.4901960784313726,1,0,0,2020-10-15 19:19:27.062,1,0,0.2807017543859649,1,0,0,0,0,0,0
38,0.4721223098907427,0.4901960784313726,1,0,0,2020-10-15 19:19:27.250,1,0,0.3650690019130707,1,0,0,0,0,0,0
39,0.4713623798766501,0.4901960784313726,1,0,0,2020-10-15 19:19:27.500,1,0,0.3650873303413391,1,0,0,0,0,0,0
40,0.4707291542816063,0.4901960784313726,1,0,0,2020-10-15 19:19:27.625,1,0,0.2807017543859649,1,0,0,0,0,0,0
41,0.4700959286865624,0.4901960784313726,1,0,0,2020-10-15 19:19:27.750,1,0,0.3651178777217865,1,0,0,0,0,0,0
42,0.4690827875011725,0.4852941176470589,1,0,0,2020-10-15 19:19:28.000,1,0,0.3653149008750915,1,0,0,0,0,0,0
43,0.4684495619061287,0.4852941176470589,1,0,0,2020-10-15 19:19:28.203,1,0,0.2982456140350877,1,0,0,0,0,0,0
44,0.4678163363110849,0.4852941176470589,1,0,0,2020-10-15 19:19:28.250,1,0,0.3653455078601837,1,0,0,0,0,0,0
45,0.4687027730774261,0.4852941176470589,1,0,0,2020-10-15 19:19:28.500,1,0,0.3653241395950317,1,0,0,0,0,0,0
46,0.4684495619061287,0.4852941176470589,1,0,0,2020-10-15 19:19:28.750,1,0,0.3653301894664764,0,1,0,0,0,0,0
47,0.4682596041109556,0.4877450980392153,1,0,0,2020-10-15 19:19:28.796,1,0,0.3157894736842105,0,1,0,0,0,0,0
48,0.4680696463157824,0.4901960784313726,1,0,0,2020-10-15 19:19:29.000,1,0,0.3651668131351471,0,1,0,0,0,0,0
49,0.4675630263063873,0.4901960784313726,1,0,0,2020-10-15 19:19:29.250,1,0,0.365179032087326,0,1,0,0,0,0,0
50,0.4671197585065166,0.4901960784313726,1,0,0,2020-10-15 19:19:29.375,1,0,0.2982456140350877,0,1,0,0,0,0,0
51,0.466676490706646,0.4901960784313726,1,0,0,2020-10-15 19:19:29.500,1,0,0.3652004301548004,0,1,0,0,0,0,0
52,0.4664231807019484,0.4901960784313726,1,0,0,2020-10-15 19:19:29.750,1,0,0.3652065098285675,0,1,0,0,0,0,0
53,0.4656633001045558,0.4901960784313726,1,0,0,2020-10-15 19:19:29.968,1,0,0.3157894736842105,0,1,0,0,0,0,0
54,0.4649034195071633,0.4901960784313726,1,0,0,2020-10-15 19:19:30.000,1,0,0.3652432560920715,0,1,0,0,0,0,0
55,0.4649034195071633,0.4901960784313726,1,0,0,2020-10-15 19:19:30.250,1,0,0.3652432560920715,0,1,0,0,0,0,0
56,0.4631304471410809,0.4901960784313726,1,0,0,2020-10-15 19:19:30.500,1,0,0.3652860224246979,0,1,0,0,0,0,0
57,0.4626238271316857,0.4901960784313726,1,0,0,2020-10-15 19:19:30.593,1,0,0.3508771929824561,0,1,0,0,0,0,0
